노드번호	갈수있는 노드	epsg3857	placeCode
460	0	"14096861.362446878,4491164.199921172"	-
461	462	"14096768.210296985,4491042.096021192"	-
462	0	"14096738.944402855,4491004.472001154"	-
463	464	"14096052.804457452,4491397.093546778"	-
464	465	"14096104.15613855,4491458.308474461"	-
465	0	"14096157.010632787,4491517.730720213"	-
466	467	"14096281.220920611,4491635.245434238"	-
467	0	"14096330.19036461,4491700.342063352"	-
468	469	"14096402.648221169,4491775.1049258225"	-
469	470	"14096435.788033579,4491820.786599413"	-
470	0	"14096479.080183547,4491870.951217407"	-
471	0	"14096552.829346199,4491890.353123562"	-
472	0	"14096614.645059433,4491692.105153197"	-
473	0	"14096577.030203495,4491640.45651171"	-
474	0	"14096545.081509639,4491599.258252025"	-
475	0	"14096668.378977645,4491754.204330595"	-
476	477	"14096700.038240824,4491552.667011198"	-
477	0	"14096710.79170363,4491545.494836129"	-
478	0	"14096679.143572401,4491598.641890304"	-
479	0	"14096681.5258095,4491443.389929472"	-
480	0	"14096539.393083658,4491341.860338002"	-
481	0	"14096531.33355252,4491404.881970866"	-
482	0	"14096650.623518858,4491471.74218709"	-
483	0	"14096580.603559148,4491558.032137545"	-
